"","Plate","Well","Culture","State","N_ug_L","gr_PC_mean","gr_pc_se_corrected","p.value","growthrate_corrected"
"1",12,"E2","MUT_7806","Axenic",8,0.369364653857573,0,NA,0
"2",13,"C4","MUT_7806","Axenic",8,0.406867838170081,0,NA,0
"3",14,"D7","MUT_7806","Axenic",8,0.315472753158136,0,NA,0
"4",13,"D3","MUT_7806","Axenic",40.5,0.320464305816048,0,0.0199492700260207,0
"5",15,"C4","MUT_7806","Axenic",40.5,0.271066945513103,0,0.0199492700260207,0
"6",19,"B6","MUT_7806","Axenic",40.5,0.224438535063195,0,0.0199492700260207,0
"7",14,"B3","MUT_7806","Axenic",87,0.293678913612891,0,NA,0
"8",18,"C7","MUT_7806","Axenic",87,0.528607958299325,0,NA,0
"9",19,"C5","MUT_7806","Axenic",87,0.303270152601694,0,NA,0
"10",12,"E5","MUT_7806","Axenic",425,0.5122875869089,0.0707113704582056,0.000945601561060443,0.5122875869089
"11",15,"D6","MUT_7806","Axenic",425,0.418689690489353,0.0549961601958861,0.000945601561060443,0.418689690489353
"12",16,"E2","MUT_7806","Axenic",425,0.512021176840869,0.136790993128022,0.000945601561060443,0.512021176840869
"13",16,"E7","MUT_7806","Axenic",883,0.358462832526884,0,NA,0
"14",17,"D2","MUT_7806","Axenic",883,0.362957866120562,0,NA,0
"15",18,"D4","MUT_7806","Axenic",883,0.381888026363969,0,NA,0
"16",12,"D7","MUT_7806","Axenic",2760,0.582439058058384,0.125730773916303,0.000678510624809295,0.582439058058384
"17",15,"E2","MUT_7806","Axenic",2760,0.583736307707034,0.0914926913382855,0.000678510624809295,0.583736307707034
"18",17,"C4","MUT_7806","Axenic",2760,0.587238795036096,0.122612446547157,0.000678510624809295,0.587238795036096
"19",13,"C6","MUT_7806","Axenic",14150,0.512648926007689,0.0574810600435918,0.0004134296901872,0.512648926007689
"20",16,"B5","MUT_7806","Axenic",14150,0.534628270980787,0.0977156622300671,0.0004134296901872,0.534628270980787
"21",19,"D2","MUT_7806","Axenic",14150,0.492757714551581,0.0144858366553652,0.0004134296901872,0.492757714551581
"22",14,"D5","MUT_7806","Axenic",30500,0.579463494190805,0.111287837908232,0.000296412137842732,0.579463494190805
"23",17,"B7","MUT_7806","Axenic",30500,0.544245749070979,0.0764158254696898,0.000296412137842732,0.544245749070979
"24",18,"C3","MUT_7806","Axenic",30500,0.652440118025478,0.114233583590713,0.000296412137842732,0.652440118025478
"25",12,"B3","MUT_7806","Xenic",8,0.2572928566647,0,0.161609817022788,0
"26",13,"B5","MUT_7806","Xenic",8,0.373890285419658,0,0.161609817022788,0
"27",14,"C7","MUT_7806","Xenic",8,0.425849307528836,0,0.161609817022788,0
"28",13,"E3","MUT_7806","Xenic",40.5,0.414428218068076,0,0.164657291608039,0
"29",15,"D5","MUT_7806","Xenic",40.5,0.33934587464002,0,0.164657291608039,0
"30",19,"C6","MUT_7806","Xenic",40.5,0.201594254856314,0,0.164657291608039,0
"31",14,"D2","MUT_7806","Xenic",87,0.493629968056092,0.0887972147740479,0.00146842692782689,0.493629968056092
"32",18,"D6","MUT_7806","Xenic",87,0.458315102455787,0.0362430979930181,0.00146842692782689,0.458315102455787
"33",19,"D5","MUT_7806","Xenic",87,0.453442448573291,0.127349216227476,0.00146842692782689,0.453442448573291
"34",12,"B5","MUT_7806","Xenic",425,0.369607152827986,0.0617860347998757,0.000119848623106796,0.369607152827986
"35",15,"B6","MUT_7806","Xenic",425,0.440512894222196,0.0368801630833267,0.000119848623106796,0.440512894222196
"36",16,"C2","MUT_7806","Xenic",425,0.361270469850931,0.0338235036382387,0.000119848623106796,0.361270469850931
"37",16,"B7","MUT_7806","Xenic",883,0.419689398067771,0.0301341610937708,0.000266610598507644,0.419689398067771
"38",17,"C3","MUT_7806","Xenic",883,0.465122465448478,0.0286794589731838,0.000266610598507644,0.465122465448478
"39",18,"E5","MUT_7806","Xenic",883,0.459693138688746,0.0163085803771412,0.000266610598507644,0.459693138688746
"40",12,"E7","MUT_7806","Xenic",2760,0.429667230137649,0.0169507740545328,4.47815015282613e-14,0.429667230137649
"41",15,"C3","MUT_7806","Xenic",2760,0.421892515627218,0.025027889283081,4.47815015282613e-14,0.421892515627218
"42",17,"D5","MUT_7806","Xenic",2760,0.45883245536126,0.029841918228544,4.47815015282613e-14,0.45883245536126
"43",13,"D6","MUT_7806","Xenic",14150,0.465702812666088,0.0413529384592056,6.90929778203679e-19,0.465702812666088
"44",16,"C5","MUT_7806","Xenic",14150,0.454640941750008,0.0228537918620705,6.90929778203679e-19,0.454640941750008
"45",19,"E2","MUT_7806","Xenic",14150,0.45987482981922,0.0166081879834428,6.90929778203679e-19,0.45987482981922
"46",14,"E5","MUT_7806","Xenic",30500,0.450798361815976,0.0226993006196229,3.10648524816565e-05,0.450798361815976
"47",17,"D7","MUT_7806","Xenic",30500,0.520549692128245,0.0965324962372721,3.10648524816565e-05,0.520549692128245
"48",18,"E2","MUT_7806","Xenic",30500,0.478561350194884,0.0135663897178969,3.10648524816565e-05,0.478561350194884
"49",12,"E3","NIES_843","Axenic",8,0.482905618246356,0,0.069673181432709,0
"50",13,"C5","NIES_843","Axenic",8,0.342193148524664,0,0.069673181432709,0
"51",14,"B7","NIES_843","Axenic",8,0.496933038166155,0,0.069673181432709,0
"52",13,"C2","NIES_843","Axenic",40.5,0.363331453728608,0,0.0827704074173252,0
"53",15,"E4","NIES_843","Axenic",40.5,0.235100059527032,0,0.0827704074173252,0
"54",19,"E7","NIES_843","Axenic",40.5,0.202628162223793,0,0.0827704074173252,0
"55",14,"E3","NIES_843","Axenic",87,0.495839837999555,0,0.106220302635817,0
"56",18,"B7","NIES_843","Axenic",87,0.328466918112294,0,0.106220302635817,0
"57",19,"C4","NIES_843","Axenic",87,0.467697016304812,0,0.106220302635817,0
"58",12,"E4","NIES_843","Axenic",425,0.329665670126605,0.0565706727018628,0.000521813061510193,0.329665670126605
"59",15,"B7","NIES_843","Axenic",425,0.377347707395559,0.0373462410770537,0.000521813061510193,0.377347707395559
"60",16,"B3","NIES_843","Axenic",425,0.369974375151398,0.0699015308618293,0.000521813061510193,0.369974375151398
"61",16,"B6","NIES_843","Axenic",883,0.529711780288691,0.0522168077470498,0.00178415938940558,0.529711780288691
"62",17,"D3","NIES_843","Axenic",883,0.528854450901147,0.0705654303831673,0.00178415938940558,0.528854450901147
"63",18,"B5","NIES_843","Axenic",883,0.525356080574162,0.0258966116579112,0.00178415938940558,0.525356080574162
"64",12,"B7","NIES_843","Axenic",2760,0.507072987527062,0.0389353077009715,2.78259364938993e-07,0.507072987527062
"65",15,"B2","NIES_843","Axenic",2760,0.494329930358186,0.0276612220144403,2.78259364938993e-07,0.494329930358186
"66",17,"B5","NIES_843","Axenic",2760,0.509406527208807,0.0179049077423764,2.78259364938993e-07,0.509406527208807
"67",13,"D7","NIES_843","Axenic",14150,0.454514851185021,0.00563190094216337,0.000112006246573116,0.454514851185021
"68",16,"D4","NIES_843","Axenic",14150,0.55081366623601,0.0607555777180024,0.000112006246573116,0.55081366623601
"69",19,"E3","NIES_843","Axenic",14150,0.476717057362861,0.00948430516313956,0.000112006246573116,0.476717057362861
"70",14,"C5","NIES_843","Axenic",30500,0.515039909956208,0.0444108112287676,3.15778202089208e-06,0.515039909956208
"71",17,"E6","NIES_843","Axenic",30500,0.5416713159969,0.037498864436469,3.15778202089208e-06,0.5416713159969
"72",18,"C2","NIES_843","Axenic",30500,0.495658638729712,0.0216096820878156,3.15778202089208e-06,0.495658638729712
"73",12,"C2","NIES_843","Xenic",8,0.265404028038547,0,NA,0
"74",13,"D5","NIES_843","Xenic",8,0.262298171763265,0,NA,0
"75",14,"C6","NIES_843","Xenic",8,0.451126198086873,0,NA,0
"76",13,"D2","NIES_843","Xenic",40.5,0.191405320534359,0,0.0196517144388652,0
"77",15,"B5","NIES_843","Xenic",40.5,0.305803337804998,0,0.0196517144388652,0
"78",19,"E6","NIES_843","Xenic",40.5,0.20171715208258,0,0.0196517144388652,0
"79",14,"E2","NIES_843","Xenic",87,0.340399346739426,0.0311596216705694,0.00499689512297465,0.340399346739426
"80",18,"E7","NIES_843","Xenic",87,0.238848271958858,0.0411172374463333,0.00499689512297465,0.238848271958858
"81",19,"B5","NIES_843","Xenic",87,0.316238564513402,0.044567333609545,0.00499689512297465,0.316238564513402
"82",12,"B4","NIES_843","Xenic",425,0.34662320420942,0.0649841271424001,4.39252478911286e-11,0.34662320420942
"83",15,"C6","NIES_843","Xenic",425,0.407764608849096,0.0504933191737668,4.39252478911286e-11,0.407764608849096
"84",16,"E3","NIES_843","Xenic",425,0.353533291980306,0.0419617225176833,4.39252478911286e-11,0.353533291980306
"85",16,"E6","NIES_843","Xenic",883,0.408148830210904,0.0146680782177996,0.000147431378914742,0.408148830210904
"86",17,"B3","NIES_843","Xenic",883,0.385454848793383,0.0298801852897705,0.000147431378914742,0.385454848793383
"87",18,"E4","NIES_843","Xenic",883,0.367644892959449,0.0174559582104196,0.000147431378914742,0.367644892959449
"88",12,"C7","NIES_843","Xenic",2760,0.474949380010052,0.0131572113982895,2.46020150401635e-06,0.474949380010052
"89",15,"D3","NIES_843","Xenic",2760,0.484797042067086,0.0503371877934099,2.46020150401635e-06,0.484797042067086
"90",17,"E5","NIES_843","Xenic",2760,0.47774940035182,0.0268823319808088,2.46020150401635e-06,0.47774940035182
"91",13,"B7","NIES_843","Xenic",14150,0.420607238005951,0.0182873411324318,0.000444281291870864,0.420607238005951
"92",16,"C4","NIES_843","Xenic",14150,0.479419824207565,0.0209368679657624,0.000444281291870864,0.479419824207565
"93",19,"D3","NIES_843","Xenic",14150,0.480284306163667,0.00879948374147005,0.000444281291870864,0.480284306163667
"94",14,"D4","NIES_843","Xenic",30500,0.478019517554626,0.0197476919978068,1.79771336858651e-05,0.478019517554626
"95",17,"C7","NIES_843","Xenic",30500,0.456037056826824,0.0231766668773479,1.79771336858651e-05,0.456037056826824
"96",18,"B3","NIES_843","Xenic",30500,0.467926661611513,0.0196157597920082,1.79771336858651e-05,0.467926661611513
"97",12,"B2","PCC_9701","Axenic",8,0.37040251458455,0,NA,0
"98",13,"D4","PCC_9701","Axenic",8,0.159656025741302,0,NA,0
"99",14,"E7","PCC_9701","Axenic",8,0.402447495865969,0,NA,0
"100",13,"B3","PCC_9701","Axenic",40.5,0.237293537929047,0,0.022132266530223,0
"101",15,"E5","PCC_9701","Axenic",40.5,0.408070312238381,0,0.022132266530223,0
"102",19,"D6","PCC_9701","Axenic",40.5,0.172049158908877,0,0.022132266530223,0
"103",14,"B2","PCC_9701","Axenic",87,0.291683661432882,0,NA,0
"104",18,"E6","PCC_9701","Axenic",87,0.256785571957148,0,NA,0
"105",19,"D4","PCC_9701","Axenic",87,0.366321157143561,0,NA,0
"106",12,"C5","PCC_9701","Axenic",425,0.44148611550746,0.0188834446077618,0.000843134612999946,0.44148611550746
"107",15,"C7","PCC_9701","Axenic",425,0.389216908328928,0.0467629246163806,0.000843134612999946,0.389216908328928
"108",16,"D2","PCC_9701","Axenic",425,0.38946136667756,0.0453903341638706,0.000843134612999946,0.38946136667756
"109",16,"C7","PCC_9701","Axenic",883,0.248419645431335,0,NA,0
"110",17,"E3","PCC_9701","Axenic",883,0.295326495046037,0,NA,0
"111",18,"D5","PCC_9701","Axenic",883,0.483079884529167,0,NA,0
"112",12,"C6","PCC_9701","Axenic",2760,0.575362297235456,0.0790112544565715,0.0003673591979286,0.575362297235456
"113",15,"E3","PCC_9701","Axenic",2760,0.535485949667446,0.0693858730750365,0.0003673591979286,0.535485949667446
"114",17,"B4","PCC_9701","Axenic",2760,0.579051851793851,0.0878017567690621,0.0003673591979286,0.579051851793851
"115",13,"B6","PCC_9701","Axenic",14150,0.510706606217651,0.0319529057990753,0.000576319594573846,0.510706606217651
"116",16,"E5","PCC_9701","Axenic",14150,0.518154237138177,0.013663417501729,0.000576319594573846,0.518154237138177
"117",19,"B3","PCC_9701","Axenic",14150,0.471762153386359,0.0297036720503013,0.000576319594573846,0.471762153386359
"118",14,"B5","PCC_9701","Axenic",30500,0.563380819336827,0.0951680283199816,0.000136334492055936,0.563380819336827
"119",17,"B6","PCC_9701","Axenic",30500,0.603884356289769,0.0831018523357539,0.000136334492055936,0.603884356289769
"120",18,"D2","PCC_9701","Axenic",30500,0.546924620168221,0.0455790646978153,0.000136334492055936,0.546924620168221
"121",12,"D2","PCC_9701","Xenic",8,0.385338039107092,0,0.0893511293618247,0
"122",13,"E5","PCC_9701","Xenic",8,0.381894510026235,0,0.0893511293618247,0
"123",14,"B6","PCC_9701","Xenic",8,0.413034946437904,0,0.0893511293618247,0
"124",13,"E2","PCC_9701","Xenic",40.5,0.414486865572475,0,0.0457735586691611,0
"125",15,"D4","PCC_9701","Xenic",40.5,0.337812957569371,0,0.0457735586691611,0
"126",19,"B7","PCC_9701","Xenic",40.5,0.191680033592601,0,0.0457735586691611,0
"127",14,"C3","PCC_9701","Xenic",87,0.439406967523888,0.0356579207790524,0.0343236633986105,0.439406967523888
"128",18,"C6","PCC_9701","Xenic",87,0.350313980922596,0.0612890469674827,0.0343236633986105,0.350313980922596
"129",19,"B4","PCC_9701","Xenic",87,0.35715573726775,0.0269790089591061,0.0343236633986105,0.35715573726775
"130",12,"C4","PCC_9701","Xenic",425,0.453387336014227,0.0660069546767955,0.000702683435285787,0.453387336014227
"131",15,"D7","PCC_9701","Xenic",425,0.38724629016609,0.0427425162484769,0.000702683435285787,0.38724629016609
"132",16,"B2","PCC_9701","Xenic",425,0.328842020256059,0.0521422032646412,0.000702683435285787,0.328842020256059
"133",16,"D7","PCC_9701","Xenic",883,0.523083763147506,0.124951343799698,0.00520369844183302,0.523083763147506
"134",17,"C2","PCC_9701","Xenic",883,0.448624116428385,0.0423720620340382,0.00520369844183302,0.448624116428385
"135",18,"B4","PCC_9701","Xenic",883,0.473534583036789,0.0616405394679871,0.00520369844183302,0.473534583036789
"136",12,"D6","PCC_9701","Xenic",2760,0.466053846432525,0.0532850080706627,0.000267945707280957,0.466053846432525
"137",15,"B3","PCC_9701","Xenic",2760,0.463784869616567,0.022334877503539,0.000267945707280957,0.463784869616567
"138",17,"E4","PCC_9701","Xenic",2760,0.546570244432656,0.0696143241889613,0.000267945707280957,0.546570244432656
"139",13,"E7","PCC_9701","Xenic",14150,0.517309436621299,0.0429247366502478,0.000556670370430268,0.517309436621299
"140",16,"E4","PCC_9701","Xenic",14150,0.63952295507156,0.0363935184436554,0.000556670370430268,0.63952295507156
"141",19,"B2","PCC_9701","Xenic",14150,0.778699175438441,0.201843635554779,0.000556670370430268,0.778699175438441
"142",14,"B4","PCC_9701","Xenic",30500,0.620192268839794,0.103480406602327,0.000214171001637018,0.620192268839794
"143",17,"E7","PCC_9701","Xenic",30500,0.52183949688953,0.074072452564783,0.000214171001637018,0.52183949688953
"144",18,"D3","PCC_9701","Xenic",30500,0.583695460918436,0.0993087363882636,0.000214171001637018,0.583695460918436
"145",12,"D3","WT_7806","Axenic",8,0.252615940124005,0,0.995724751326927,0
"146",13,"E4","WT_7806","Axenic",8,0.282404443003105,0,0.995724751326927,0
"147",14,"E6","WT_7806","Axenic",8,0.604012503573615,0,0.995724751326927,0
"148",13,"C3","WT_7806","Axenic",40.5,0.33898804882734,0,8.33855221678173e-05,0
"149",15,"B4","WT_7806","Axenic",40.5,0.274032335410274,0,8.33855221678173e-05,0
"150",19,"D7","WT_7806","Axenic",40.5,0.333574893500595,0,8.33855221678173e-05,0
"151",14,"D3","WT_7806","Axenic",87,0.337657205455267,0,NA,0
"152",18,"D7","WT_7806","Axenic",87,0.306219090302792,0,NA,0
"153",19,"E5","WT_7806","Axenic",87,0.252426296717885,0,NA,0
"154",12,"D5","WT_7806","Axenic",425,0.586391363210196,0.145162544668734,0.000132596763089612,0.586391363210196
"155",15,"E7","WT_7806","Axenic",425,0.584664573608585,0.224523611291357,0.000132596763089612,0.584664573608585
"156",16,"D3","WT_7806","Axenic",425,0.506991991708192,0.149513959650721,0.000132596763089612,0.506991991708192
"157",16,"C6","WT_7806","Axenic",883,0.320448717865297,0,NA,0
"158",17,"E2","WT_7806","Axenic",883,0.374266573553882,0,NA,0
"159",18,"C5","WT_7806","Axenic",883,0.288882963021402,0,NA,0
"160",12,"E6","WT_7806","Axenic",2760,0.52477683625061,0.131184860240321,3.82015196148459e-09,0.52477683625061
"161",15,"D2","WT_7806","Axenic",2760,0.596768506302879,0.121897907766666,3.82015196148459e-09,0.596768506302879
"162",17,"C5","WT_7806","Axenic",2760,0.570762853111488,0.119431712718866,3.82015196148459e-09,0.570762853111488
"163",13,"E6","WT_7806","Axenic",14150,0.510546813687849,0.125779012603552,0.000206533638565219,0.510546813687849
"164",16,"B4","WT_7806","Axenic",14150,0.560019715366996,0.0958488011932825,0.000206533638565219,0.560019715366996
"165",19,"C3","WT_7806","Axenic",14150,0.553126021149424,0.0577566343559153,0.000206533638565219,0.553126021149424
"166",14,"C4","WT_7806","Axenic",30500,0.473333465356381,0.0701305519167231,2.47119198024448e-14,0.473333465356381
"167",17,"D6","WT_7806","Axenic",30500,0.536916963310535,0.0401951289817514,2.47119198024448e-14,0.536916963310535
"168",18,"B2","WT_7806","Axenic",30500,0.56408860499199,0.146981554706876,2.47119198024448e-14,0.56408860499199
"169",12,"C3","WT_7806","Xenic",8,0.270799251580845,0,0.140610033857204,0
"170",13,"B4","WT_7806","Xenic",8,0.388188187362178,0,0.140610033857204,0
"171",14,"D6","WT_7806","Xenic",8,0.609169092031211,0,0.140610033857204,0
"172",13,"B2","WT_7806","Xenic",40.5,0.370987509925413,0,0.00404511967855213,0
"173",15,"C5","WT_7806","Xenic",40.5,0.262009785980922,0,0.00404511967855213,0
"174",19,"C7","WT_7806","Xenic",40.5,0.263870739107739,0,0.00404511967855213,0
"175",14,"C2","WT_7806","Xenic",87,0.458388779076503,0.0535438409422657,0.0357490087456326,0.458388779076503
"176",18,"B6","WT_7806","Xenic",87,0.471939881920173,0.051646042830611,0.0357490087456326,0.471939881920173
"177",19,"E4","WT_7806","Xenic",87,0.332443690185028,0.0311635825426047,0.0357490087456326,0.332443690185028
"178",12,"D4","WT_7806","Xenic",425,0.389483957340966,0.0315698084142273,3.48122256569221e-06,0.389483957340966
"179",15,"E6","WT_7806","Xenic",425,0.431734148981938,0.0691629083815983,3.48122256569221e-06,0.431734148981938
"180",16,"C3","WT_7806","Xenic",425,0.343564703920872,0.0269726708243021,3.48122256569221e-06,0.343564703920872
"181",16,"D6","WT_7806","Xenic",883,0.432921335757097,0.0316107364622111,0.00143533169954941,0.432921335757097
"182",17,"B2","WT_7806","Xenic",883,0.429112818788569,0.0384923141015301,0.00143533169954941,0.429112818788569
"183",18,"C4","WT_7806","Xenic",883,0.401523013657086,0.0275049779568953,0.00143533169954941,0.401523013657086
"184",12,"B6","WT_7806","Xenic",2760,0.426601496827208,0.0214512740833371,6.85464099266643e-05,0.426601496827208
"185",15,"C2","WT_7806","Xenic",2760,0.389672351297744,0.00814304622576364,6.85464099266643e-05,0.389672351297744
"186",17,"D4","WT_7806","Xenic",2760,0.373162868955129,0.00732809601355095,6.85464099266643e-05,0.373162868955129
"187",13,"C7","WT_7806","Xenic",14150,0.404848412961608,0.0216637422675156,2.4161616266109e-05,0.404848412961608
"188",16,"D5","WT_7806","Xenic",14150,0.409760521810326,0.0288406562055133,2.4161616266109e-05,0.409760521810326
"189",19,"C2","WT_7806","Xenic",14150,0.41364360724194,0.0275655599570639,2.4161616266109e-05,0.41364360724194
"190",14,"E4","WT_7806","Xenic",30500,0.398546311769917,0.0147498802720143,0.000310958940124249,0.398546311769917
"191",17,"C6","WT_7806","Xenic",30500,0.415389227670901,0.0238948961835556,0.000310958940124249,0.415389227670901
"192",18,"E3","WT_7806","Xenic",30500,0.424201171805989,0.0141556366319381,0.000310958940124249,0.424201171805989
